source_path	revision	manifest_sha	generated_urls	lane	decision	evidence
service-workers/cache-storage/cache-abort.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	99f29b0a08bae82f4be0c0dee98ce5b31a941a48	4	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-add.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	c4846eaae40afa38d9bf000169a4917d45a6df81	4	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-api-nested-worker.https.html	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	769200f66aa377840ba9c827d374c9cfaff7ec60	1	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-delete.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	3eae2b6a08b7954a6a5e644b8248f6ebab562a83	4	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-keys-attributes-for-service-worker.https.html	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	3c96348e0e033cf0b0a14b1f025b70d787febb35	1	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-keys.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	232fb760d4080a02051ba5cf5e8d2964771fda9a	4	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-match.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	9ca45903cbb101810488ced4b31bb9f34957b1ef	4	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-matchAll.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	93c55178918c333df25104e69ca74af5dbf04be9	4	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-put.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	dbf2650a75a5ff051f222ccb736b14f65d98f1b9	4	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-storage-buckets.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	fd59ba464db0305de210fc2935d739b2469ec4ae	4	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-storage-keys.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	f19522be1b437d619b356b5b0290679a8f391866	4	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-storage-match.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	0c31b726294b14b1b849ecbeb369d23a59d126d8	4	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cache-storage.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	b7d5af7b532036351ab842de451002ca36f7b4af	4	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/common.https.window.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	eba312c273de149ae9007d69bb4796b147e03841	1	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/credentials.https.html	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	0fe4a0a0ac0de1097a3ba35689df5396eaa613ec	1	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/cross-partition.https.tentative.html	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	1cfc2569088e94530b193e24e5c0415883a76330	1	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/cache-storage/sandboxed-iframes.https.html	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	098fa89daf446f57da6313c865e53a0a67983059	1	gated	gated-initial-inventory	2026-08-19-m0-wpt-case-inventory.tsv
service-workers/idlharness.https.any.js	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	8db5d4d10ff7b90f990d77394dac2dddbd2aa45f	4	defer	defer-mixed-idlharness	2026-08-19-idlharness-review.md
service-workers/service-worker/Service-Worker-Allowed-header.https.html	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	6f44bb17e7da958a195e8602aa5aef9c135a80b3	1	gated	gated-server-header-cross-origin	2026-08-19-m1-final-review.tsv
service-workers/service-worker/ServiceWorkerGlobalScope/close.https.html	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83	3e3cc8b2b08973baf3293c0a533c85489f352b68	1	defer	defer-advanced	2026-08-19-m1-next-wave-review.tsv
